2025-11-06 14:46:01,422 | INFO    | wait | Abrindo transação: LI11N
2025-11-06 14:46:01,449 | INFO    | wait | Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:46:02,961 | INFO    | wait | [STEP] Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:46:04,253 | INFO    | wait | OK: Status livre
2025-11-06 14:46:04,289 | INFO    | wait | [STEP] Estado estável pós-ação
2025-11-06 14:46:05,181 | INFO    | wait | Consultando view dbo.vw_PowerBI_DataTable (filtrando Tipo Deposito = 'H0A')...
2025-11-06 14:46:06,163 | INFO    | wait | Registros retornados (Tipo Deposito=H0A): 14
2025-11-06 14:46:06,197 | INFO    | wait | Lendo template de referência: \\ca0vm0126\FONTES\Python\Projeto_Inventário\Template_RPA.xlsx
2025-11-06 14:46:15,749 | INFO    | wait | Coluna Centro: dtype template=object, dtype db=object
2025-11-06 14:46:15,782 | INFO    | wait | Coluna Deposito: dtype template=object, dtype db=object
2025-11-06 14:46:15,816 | INFO    | wait | Coluna Posição no Deposito: dtype template=object, dtype db=object
2025-11-06 14:46:15,849 | INFO    | wait | Coluna Material: dtype template=object, dtype db=object
2025-11-06 14:46:15,889 | INFO    | wait | Total de registros carregados do DB: 14
2025-11-06 14:46:15,970 | INFO    | wait | Fluxo concluído com sucesso.
2025-11-06 14:46:16,003 | INFO    | wait | Pausa final de 12.0s para visualização.
2025-11-06 14:48:16,038 | INFO    | wait | Encerrando sessão.
2025-11-06 14:52:36,592 | INFO    | wait | Iniciando browser.
2025-11-06 14:52:38,267 | INFO    | wait | Acessando URL: http://rb3qraa0.server.bosch.com:8001/sap/bc/gui/sap/its/webgui/#
2025-11-06 14:52:49,906 | INFO    | wait | Página estável.
2025-11-06 14:52:50,106 | INFO    | wait | Abrindo transação: LI11N
2025-11-06 14:52:50,141 | INFO    | wait | Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:52:51,933 | INFO    | wait | [STEP] Preencher 'Enter transaction code' com 'LI11N'
2025-11-06 14:52:53,356 | INFO    | wait | OK: Status livre
2025-11-06 14:52:53,393 | INFO    | wait | [STEP] Estado estável pós-ação
